date,confirmedCount,suspectedCount,curedCount,deadCount,confirmedRise,suspectedRise,curedRise,deadRise
2020/1/22,574,393,0,17,131,356,3,8
2020/1/23,835,1072,34,25,261,680,34,8
2020/1/24,1297,1965,38,41,462,1118,4,16
2020/1/25,1985,2684,49,56,688,1309,11,15
2020/1/26,2761,5794,51,80,776,3806,2,24
2020/1/27,4535,6973,60,106,1774,2077,9,26
2020/1/28,5997,9239,103,132,1462,3248,43,26
2020/1/29,7736,12167,126,170,1739,4148,23,38
2020/1/30,9720,15238,171,213,1984,4812,45,43
2020/1/31,11791,17988,243,259,2071,5019,72,46
2020/2/1,14380,19544,328,304,2589,4562,85,45
2020/2/2,17205,21558,475,361,2825,5173,147,57
2020/2/3,20438,23214,632,425,3233,5072,157,64
2020/2/4,24324,23260,892,490,3886,3971,260,65
2020/2/5,28018,24702,1153,563,3694,5328,261,73
2020/2/6,31161,26359,1540,636,3143,4833,387,73
2020/2/7,34546,27657,2050,722,3385,4214,510,86
2020/2/8,37198,28942,2649,811,2652,3916,599,89
2020/2/9,40171,23589,3281,908,2973,4008,632,97
2020/2/10,42638,21675,3996,1016,2467,3536,716,108
2020/2/11,44653,16067,4740,1113,2015,3342,744,97
